X,Y,I,In
0.635,8.1909,0,0
0.635,8.20605,0,0
0.635,8.2212,0,0
0.635,8.23635,1,2.63157894736842
0.635,8.2515,1,2.63157894736842
0.635,8.26665,0,0
0.635,8.2818,0,0
0.635,8.29695,0,0
0.635,8.3121,1,2.63157894736842
0.635,8.32725,0,0
0.635,8.3424,1,2.63157894736842
0.635,8.3576,0,0
0.635,8.37275,1,2.63157894736842
0.635,8.3879,1,2.63157894736842
0.635,8.40305,2,5.26315789473684
0.635,8.4182,4,10.5263157894737
0.635,8.43335,2,5.26315789473684
0.635,8.4485,5,13.1578947368421
0.635,8.46365,14,36.8421052631579
0.635,8.4788,18,47.3684210526316
0.635,8.49395,12,31.5789473684211
0.635,8.5091,28,73.6842105263158
0.635,8.52425,13,34.2105263157895
0.635,8.5394,12,31.5789473684211
0.635,8.55455,14,36.8421052631579
0.635,8.5697,6,15.7894736842105
0.635,8.58485,4,10.5263157894737
0.635,8.6,4,10.5263157894737
0.635,8.61515,1,2.63157894736842
0.635,8.6303,2,5.26315789473684
0.635,8.64545,4,10.5263157894737
0.635,8.6606,1,2.63157894736842
0.635,8.67575,1,2.63157894736842
0.635,8.6909,0,0
0.635,8.70605,5,13.1578947368421
0.635,8.7212,3,7.89473684210526
0.635,8.73635,1,2.63157894736842
0.635,8.7515,4,10.5263157894737
0.635,8.76665,2,5.26315789473684
0.635,8.7818,1,2.63157894736842
0.635,8.79695,6,15.7894736842105
0.635,8.8121,1,2.63157894736842
0.635,8.82725,1,2.63157894736842
0.635,8.8424,1,2.63157894736842
0.635,8.8576,0,0
0.635,8.87275,2,5.26315789473684
0.635,8.8879,0,0
0.635,8.90305,1,2.63157894736842
0.635,8.9182,0,0
0.635,8.93335,2,5.26315789473684
0.635,8.9485,1,2.63157894736842
0.635,8.96365,1,2.63157894736842
0.635,8.9788,1,2.63157894736842
0.635,8.99395,1,2.63157894736842
0.635,9.0091,1,2.63157894736842
0.635,9.02425,1,2.63157894736842
0.635,9.0394,2,5.26315789473684
0.635,9.05455,2,5.26315789473684
0.635,9.0697,0,0
0.635,9.08485,0,0
0.635,9.1,3,7.89473684210526
0.65,8.1,1,2.63157894736842
0.65,8.11515,1,2.63157894736842
0.65,8.1303,0,0
0.65,8.14545,2,5.26315789473684
0.65,8.1606,0,0
0.65,8.17575,0,0
0.65,8.1909,1,2.63157894736842
0.65,8.20605,1,2.63157894736842
0.65,8.2212,0,0
0.65,8.23635,2,5.26315789473684
0.65,8.2515,0,0
0.65,8.26665,4,10.5263157894737
0.65,8.2818,0,0
0.65,8.29695,1,2.63157894736842
0.65,8.3121,0,0
0.65,8.32725,1,2.63157894736842
0.65,8.3424,2,5.26315789473684
0.65,8.3576,0,0
0.65,8.37275,5,13.1578947368421
0.65,8.3879,1,2.63157894736842
0.65,8.40305,10,26.3157894736842
0.65,8.4182,11,28.9473684210526
0.65,8.43335,13,34.2105263157895
0.65,8.4485,19,50
0.65,8.46365,23,60.5263157894737
0.65,8.4788,24,63.1578947368421
0.65,8.49395,20,52.6315789473684
0.65,8.5091,12,31.5789473684211
0.65,8.52425,13,34.2105263157895
0.65,8.5394,10,26.3157894736842
0.65,8.55455,8,21.0526315789474
0.65,8.5697,4,10.5263157894737
0.65,8.58485,3,7.89473684210526
0.65,8.6,1,2.63157894736842
0.65,8.61515,0,0
0.65,8.6303,3,7.89473684210526
0.65,8.64545,4,10.5263157894737
0.65,8.6606,1,2.63157894736842
0.65,8.67575,2,5.26315789473684
0.65,8.6909,4,10.5263157894737
0.65,8.70605,4,10.5263157894737
0.65,8.7212,3,7.89473684210526
0.65,8.73635,0,0
0.65,8.7515,1,2.63157894736842
0.65,8.76665,2,5.26315789473684
0.65,8.7818,2,5.26315789473684
0.65,8.79695,2,5.26315789473684
0.65,8.8121,4,10.5263157894737
0.65,8.82725,1,2.63157894736842
0.65,8.8424,1,2.63157894736842
0.65,8.8576,0,0
0.65,8.87275,1,2.63157894736842
0.65,8.8879,1,2.63157894736842
0.65,8.90305,0,0
0.65,8.9182,1,2.63157894736842
0.65,8.93335,0,0
0.65,8.9485,1,2.63157894736842
0.65,8.96365,0,0
0.65,8.9788,2,5.26315789473684
0.65,8.99395,0,0
0.65,9.0091,1,2.63157894736842
0.65,9.02425,0,0
0.65,9.0394,1,2.63157894736842
0.65,9.05455,0,0
0.65,9.0697,1,2.63157894736842
0.65,9.08485,0,0
0.65,9.1,0,0
0.665,8.1,2,5.26315789473684
0.665,8.11515,1,2.63157894736842
0.665,8.1303,0,0
0.665,8.14545,0,0
0.665,8.1606,0,0
0.665,8.17575,1,2.63157894736842
0.665,8.1909,1,2.63157894736842
0.665,8.20605,0,0
0.665,8.2212,1,2.63157894736842
0.665,8.23635,3,7.89473684210526
0.665,8.2515,0,0
0.665,8.26665,0,0
0.665,8.2818,1,2.63157894736842
0.665,8.29695,1,2.63157894736842
0.665,8.3121,0,0
0.665,8.32725,0,0
0.665,8.3424,1,2.63157894736842
0.665,8.3576,7,18.4210526315789
0.665,8.37275,3,7.89473684210526
0.665,8.3879,6,15.7894736842105
0.665,8.40305,15,39.4736842105263
0.665,8.4182,21,55.2631578947368
0.665,8.43335,16,42.1052631578947
0.665,8.4485,28,73.6842105263158
0.665,8.46365,19,50
0.665,8.4788,23,60.5263157894737
0.665,8.49395,14,36.8421052631579
0.665,8.5091,12,31.5789473684211
0.665,8.52425,9,23.6842105263158
0.665,8.5394,10,26.3157894736842
0.665,8.55455,4,10.5263157894737
0.665,8.5697,4,10.5263157894737
0.665,8.58485,6,15.7894736842105
0.665,8.6,7,18.4210526315789
0.665,8.61515,0,0
0.665,8.6303,2,5.26315789473684
0.665,8.64545,9,23.6842105263158
0.665,8.6606,4,10.5263157894737
0.665,8.67575,1,2.63157894736842
0.665,8.6909,2,5.26315789473684
0.665,8.70605,2,5.26315789473684
0.665,8.7212,0,0
0.665,8.73635,1,2.63157894736842
0.665,8.7515,0,0
0.665,8.76665,0,0
0.665,8.7818,4,10.5263157894737
0.665,8.79695,2,5.26315789473684
0.665,8.8121,1,2.63157894736842
0.665,8.82725,0,0
0.665,8.8424,1,2.63157894736842
0.665,8.8576,0,0
0.665,8.87275,0,0
0.665,8.8879,2,5.26315789473684
0.665,8.90305,3,7.89473684210526
0.665,8.9182,1,2.63157894736842
0.665,8.93335,3,7.89473684210526
0.665,8.9485,0,0
0.665,8.96365,1,2.63157894736842
0.665,8.9788,2,5.26315789473684
0.665,8.99395,2,5.26315789473684
0.665,9.0091,1,2.63157894736842
0.665,9.02425,0,0
0.665,9.0394,1,2.63157894736842
0.665,9.05455,3,7.89473684210526
0.665,9.0697,1,2.63157894736842
0.665,9.08485,0,0
0.665,9.1,1,2.63157894736842
0.68,8.1,1,2.63157894736842
0.68,8.11515,0,0
0.68,8.1303,0,0
0.68,8.14545,1,2.63157894736842
0.68,8.1606,1,2.63157894736842
0.68,8.17575,0,0
0.68,8.1909,0,0
0.68,8.20605,0,0
0.68,8.2212,1,2.63157894736842
0.68,8.23635,3,7.89473684210526
0.68,8.2515,0,0
0.68,8.26665,1,2.63157894736842
0.68,8.2818,0,0
0.68,8.29695,2,5.26315789473684
0.68,8.3121,2,5.26315789473684
0.68,8.32725,1,2.63157894736842
0.68,8.3424,4,10.5263157894737
0.68,8.3576,8,21.0526315789474
0.68,8.37275,9,23.6842105263158
0.68,8.3879,8,21.0526315789474
0.68,8.40305,23,60.5263157894737
0.68,8.4182,15,39.4736842105263
0.68,8.43335,27,71.0526315789474
0.68,8.4485,20,52.6315789473684
0.68,8.46365,11,28.9473684210526
0.68,8.4788,16,42.1052631578947
0.68,8.49395,9,23.6842105263158
0.68,8.5091,11,28.9473684210526
0.68,8.52425,7,18.4210526315789
0.68,8.5394,12,31.5789473684211
0.68,8.55455,9,23.6842105263158
0.68,8.5697,6,15.7894736842105
0.68,8.58485,6,15.7894736842105
0.68,8.6,8,21.0526315789474
