xposition,yposition,Fe_rel_conc
0.605,8.14545,2.17391304347826
0.605,8.1606,3.80434782608696
0.605,8.17575,6.52173913043478
0.605,8.1909,2.17391304347826
0.605,8.20605,2.17391304347826
0.605,8.2212,2.17391304347826
0.605,8.23635,3.26086956521739
0.605,8.2515,3.80434782608696
0.605,8.26665,2.17391304347826
0.605,8.2818,2.17391304347826
0.605,8.29695,2.17391304347826
0.605,8.3121,0.543478260869565
0.605,8.32725,4.89130434782609
0.605,8.3424,2.71739130434783
0.605,8.3576,3.80434782608696
0.605,8.37275,4.89130434782609
0.605,8.3879,2.71739130434783
0.605,8.40305,2.71739130434783
