X,Y,I,In
0.605,8.29695,4,0.0217391304347826
0.605,8.3121,1,0.00543478260869565
0.605,8.32725,9,0.0489130434782609
0.605,8.3424,5,0.0271739130434783
0.605,8.3576,7,0.0380434782608696
0.605,8.37275,9,0.0489130434782609
0.605,8.3879,5,0.0271739130434783
0.605,8.40305,5,0.0271739130434783
0.605,8.4182,9,0.0489130434782609
0.605,8.43335,10,0.0543478260869565
0.605,8.4485,10,0.0543478260869565
0.605,8.46365,18,0.0978260869565217
0.605,8.4788,14,0.0760869565217391
0.605,8.49395,22,0.119565217391304
0.605,8.5091,37,0.201086956521739
0.605,8.52425,64,0.347826086956522
0.605,8.5394,84,0.456521739130435
0.605,8.55455,87,0.472826086956522
0.605,8.5697,118,0.641304347826087
0.605,8.58485,91,0.494565217391304
0.605,8.6,93,0.505434782608696
0.605,8.61515,126,0.684782608695652
0.605,8.6303,100,0.543478260869565
0.605,8.64545,114,0.619565217391304
0.605,8.6606,108,0.58695652173913
0.605,8.67575,121,0.657608695652174
0.605,8.6909,118,0.641304347826087
0.605,8.70605,88,0.478260869565217
0.605,8.7212,89,0.483695652173913
0.605,8.73635,78,0.423913043478261
0.605,8.7515,84,0.456521739130435
0.605,8.76665,36,0.195652173913043
0.605,8.7818,29,0.157608695652174
0.605,8.79695,22,0.119565217391304
0.605,8.8121,17,0.0923913043478261
0.605,8.82725,17,0.0923913043478261
0.605,8.8424,18,0.0978260869565217
0.605,8.8576,17,0.0923913043478261
0.605,8.87275,24,0.130434782608696
0.605,8.8879,24,0.130434782608696
0.605,8.90305,16,0.0869565217391304
0.605,8.9182,20,0.108695652173913
0.605,8.93335,23,0.125
0.605,8.9485,30,0.16304347826087
0.605,8.96365,15,0.0815217391304348
0.605,8.9788,20,0.108695652173913
0.605,8.99395,15,0.0815217391304348
0.605,9.0091,18,0.0978260869565217
0.605,9.02425,11,0.0597826086956522
0.605,9.0394,12,0.0652173913043478
0.605,9.05455,8,0.0434782608695652
0.605,9.0697,6,0.0326086956521739
0.605,9.08485,10,0.0543478260869565
0.605,9.1,20,0.108695652173913
0.62,8.1,7,0.0380434782608696
0.62,8.11515,5,0.0271739130434783
0.62,8.1303,9,0.0489130434782609
0.62,8.14545,5,0.0271739130434783
0.62,8.1606,7,0.0380434782608696
0.62,8.17575,2,0.0108695652173913
0.62,8.1909,5,0.0271739130434783
0.62,8.20605,5,0.0271739130434783
0.62,8.2212,2,0.0108695652173913
0.62,8.23635,8,0.0434782608695652
0.62,8.2515,9,0.0489130434782609
0.62,8.26665,9,0.0489130434782609
0.62,8.2818,7,0.0380434782608696
0.62,8.29695,5,0.0271739130434783
0.62,8.3121,9,0.0489130434782609
0.62,8.32725,9,0.0489130434782609
0.62,8.3424,4,0.0217391304347826
0.62,8.3576,4,0.0217391304347826
0.62,8.37275,6,0.0326086956521739
0.62,8.3879,5,0.0271739130434783
0.62,8.40305,13,0.0706521739130435
0.62,8.4182,9,0.0489130434782609
0.62,8.43335,14,0.0760869565217391
0.62,8.4485,15,0.0815217391304348
0.62,8.46365,20,0.108695652173913
0.62,8.4788,49,0.266304347826087
0.62,8.49395,63,0.342391304347826
0.62,8.5091,90,0.489130434782609
0.62,8.52425,118,0.641304347826087
0.62,8.5394,110,0.597826086956522
0.62,8.55455,103,0.559782608695652
0.62,8.5697,124,0.673913043478261
0.62,8.58485,126,0.684782608695652
0.62,8.6,109,0.592391304347826
0.62,8.61515,140,0.760869565217391
0.62,8.6303,122,0.66304347826087
0.62,8.64545,126,0.684782608695652
0.62,8.6606,136,0.739130434782609
0.62,8.67575,141,0.766304347826087
0.62,8.6909,145,0.78804347826087
0.62,8.70605,122,0.66304347826087
0.62,8.7212,131,0.71195652173913
0.62,8.73635,87,0.472826086956522
0.62,8.7515,89,0.483695652173913
0.62,8.76665,76,0.41304347826087
0.62,8.7818,66,0.358695652173913
0.62,8.79695,34,0.184782608695652
0.62,8.8121,31,0.168478260869565
0.62,8.82725,21,0.114130434782609
0.62,8.8424,15,0.0815217391304348
0.62,8.8576,13,0.0706521739130435
0.62,8.87275,11,0.0597826086956522
0.62,8.8879,15,0.0815217391304348
0.62,8.90305,20,0.108695652173913
0.62,8.9182,21,0.114130434782609
0.62,8.93335,16,0.0869565217391304
0.62,8.9485,23,0.125
0.62,8.96365,29,0.157608695652174
0.62,8.9788,24,0.130434782608696
0.62,8.99395,8,0.0434782608695652
0.62,9.0091,17,0.0923913043478261
0.62,9.02425,5,0.0271739130434783
0.62,9.0394,7,0.0380434782608696
0.62,9.05455,6,0.0326086956521739
0.62,9.0697,7,0.0380434782608696
0.62,9.08485,14,0.0760869565217391
0.62,9.1,12,0.0652173913043478
0.635,8.1,7,0.0380434782608696
0.635,8.11515,2,0.0108695652173913
0.635,8.1303,6,0.0326086956521739
0.635,8.14545,10,0.0543478260869565
0.635,8.1606,5,0.0271739130434783
0.635,8.17575,7,0.0380434782608696
0.635,8.1909,4,0.0217391304347826
0.635,8.20605,7,0.0380434782608696
0.635,8.2212,6,0.0326086956521739
0.635,8.23635,7,0.0380434782608696
0.635,8.2515,7,0.0380434782608696
0.635,8.26665,4,0.0217391304347826
0.635,8.2818,5,0.0271739130434783
0.635,8.29695,9,0.0489130434782609
0.635,8.3121,8,0.0434782608695652
0.635,8.32725,10,0.0543478260869565
0.635,8.3424,7,0.0380434782608696
0.635,8.3576,5,0.0271739130434783
0.635,8.37275,9,0.0489130434782609
0.635,8.3879,13,0.0706521739130435
0.635,8.40305,20,0.108695652173913
0.635,8.4182,23,0.125
0.635,8.43335,26,0.141304347826087
0.635,8.4485,52,0.282608695652174
0.635,8.46365,97,0.527173913043478
0.635,8.4788,117,0.635869565217391
0.635,8.49395,92,0.5
0.635,8.5091,124,0.673913043478261
0.635,8.52425,97,0.527173913043478
0.635,8.5394,118,0.641304347826087
0.635,8.55455,119,0.646739130434783
0.635,8.5697,119,0.646739130434783
0.635,8.58485,154,0.83695652173913
0.635,8.6,153,0.831521739130435
0.635,8.61515,123,0.668478260869565
0.635,8.6303,153,0.831521739130435
0.635,8.64545,152,0.826086956521739
0.635,8.6606,139,0.755434782608696
0.635,8.67575,141,0.766304347826087
0.635,8.6909,147,0.798913043478261
0.635,8.70605,131,0.71195652173913
0.635,8.7212,134,0.728260869565217
0.635,8.73635,116,0.630434782608696
0.635,8.7515,111,0.603260869565217
0.635,8.76665,116,0.630434782608696
0.635,8.7818,97,0.527173913043478
0.635,8.79695,76,0.41304347826087
0.635,8.8121,43,0.233695652173913
0.635,8.82725,42,0.228260869565217
0.635,8.8424,27,0.146739130434783
0.635,8.8576,15,0.0815217391304348
0.635,8.87275,23,0.125
0.635,8.8879,16,0.0869565217391304
0.635,8.90305,11,0.0597826086956522
0.635,8.9182,30,0.16304347826087
0.635,8.93335,23,0.125
0.635,8.9485,30,0.16304347826087
0.635,8.96365,22,0.119565217391304
0.635,8.9788,28,0.152173913043478
0.635,8.99395,28,0.152173913043478
0.635,9.0091,15,0.0815217391304348
0.635,9.02425,10,0.0543478260869565
0.635,9.0394,9,0.0489130434782609
0.635,9.05455,19,0.103260869565217
0.635,9.0697,10,0.0543478260869565
0.635,9.08485,3,0.016304347826087
0.635,9.1,12,0.0652173913043478
0.65,8.1,12,0.0652173913043478
0.65,8.11515,9,0.0489130434782609
0.65,8.1303,7,0.0380434782608696
0.65,8.14545,6,0.0326086956521739
