e         norm        nbkg        flat        fbkg        nder        nsec
  7114.9956       0.68929548E-01   0.68929541E-01   0.68929541E-01   0.68929541E-01  -0.65491212E-02   0.45225971E-01
  7115.1004       0.68394406E-01   0.68394400E-01   0.68394400E-01   0.68394400E-01  -0.16508682E-02   0.37720052E-01
  7115.2051       0.68583684E-01   0.68583678E-01   0.68583678E-01   0.68583678E-01   0.13533805E-02   0.16872405E-01
  7115.3017       0.68666876E-01   0.68666869E-01   0.68666869E-01   0.68666869E-01   0.17459688E-02   0.16376449E-01
  7115.3999       0.68923771E-01   0.68923765E-01   0.68923765E-01   0.68923765E-01   0.45432507E-02   0.23508304E-01
  7115.4981       0.69559293E-01   0.69559286E-01   0.69559286E-01   0.69559286E-01   0.63636345E-02   0.27740698E-01
  7115.5963       0.70173799E-01   0.70173792E-01   0.70173792E-01   0.70173792E-01   0.99924393E-02   0.30664629E-01
  7115.6962       0.71538545E-01   0.71538538E-01   0.71538538E-01   0.71538538E-01   0.12437531E-01   0.82079821E-02
  7115.7960       0.72657785E-01   0.72657778E-01   0.72657778E-01   0.72657778E-01   0.11631713E-01   0.12341799E-01
  7115.8992       0.73899760E-01   0.73899752E-01   0.73899752E-01   0.73899752E-01   0.14942891E-01   0.26492295E-01
  7116.0007       0.75715729E-01   0.75715721E-01   0.75715721E-01   0.75715721E-01   0.17053149E-01   0.16711572E-01
  7116.0989       0.77305887E-01   0.77305880E-01   0.77305880E-01   0.77305880E-01   0.18280794E-01   0.24141116E-01
  7116.1988       0.79337227E-01   0.79337219E-01   0.79337219E-01   0.79337219E-01   0.21835601E-01   0.31823180E-01
  7116.2970       0.81631738E-01   0.81631730E-01   0.81631730E-01   0.81631730E-01   0.24585284E-01   0.18183446E-02
  7116.3969       0.84207965E-01   0.84207957E-01   0.84207957E-01   0.84207957E-01   0.22195844E-01  -0.98467521E-02
  7116.4984       0.86101892E-01   0.86101884E-01   0.86101884E-01   0.86101884E-01   0.22602188E-01   0.41488264E-01
  7116.5950       0.88686069E-01   0.88686060E-01   0.88686060E-01   0.88686060E-01   0.30415789E-01   0.41131640E-01
  7116.6933       0.92028652E-01   0.92028643E-01   0.92028643E-01   0.92028643E-01   0.30617017E-01   0.12785984E-03
  7116.7965       0.94852764E-01   0.94852755E-01   0.94852755E-01   0.94852755E-01   0.30441542E-01   0.11194732E-01
  7116.8980       0.98259884E-01   0.98259874E-01   0.98259874E-01   0.98259874E-01   0.32908522E-01   0.26013247E-01
  7116.9962       0.10142749       0.10142748       0.10142748       0.10142748       0.35638676E-01   0.24972796E-01
  7117.1011       0.10549699       0.10549698       0.10549698       0.10549698       0.37979723E-01   0.26032908E-01
  7117.2042       0.10932682       0.10932681       0.10932681       0.10932681       0.41053209E-01   0.23716783E-01
  7117.3025       0.11376692       0.11376691       0.11376691       0.11376691       0.42757327E-01   0.17960257E-01
  7117.3991       0.11766018       0.11766017       0.11766017       0.11766017       0.44553645E-01   0.26235941E-01
  7117.4974       0.12245060       0.12245059       0.12245059       0.12245059       0.47870816E-01   0.19024404E-01
  7117.6039       0.12746111       0.12746109       0.12746109       0.12746109       0.48448644E-01   0.26274208E-01
  7117.7054       0.13252884       0.13252883       0.13252883       0.13252883       0.53336351E-01   0.41770403E-01
  7117.8021       0.13803221       0.13803220       0.13803220       0.13803220       0.56727413E-01   0.19058347E-01
  7117.9003       0.14358654       0.14358653       0.14358653       0.14358653       0.57051337E-01   0.10503982E-01
  7118.0003       0.14934030       0.14934029       0.14934029       0.14934029       0.58809397E-01   0.43841129E-01
  7118.1051       0.15562877       0.15562875       0.15562875       0.15562875       0.66028554E-01   0.62251635E-01
  7118.2018       0.16264479       0.16264477       0.16264477       0.16264477       0.71352852E-01   0.27431571E-01
  7118.2984       0.16942213       0.16942211       0.16942211       0.16942211       0.71331406E-01   0.77354298E-02
  7118.3984       0.17666812       0.17666810       0.17666810       0.17666810       0.72873591E-01   0.19868932E-01
  7118.4934       0.18362956       0.18362955       0.18362955       0.18362955       0.75205053E-01   0.28305327E-01
  7118.5982       0.19170025       0.19170023       0.19170023       0.19170023       0.78531317E-01   0.35625938E-01
  7118.7015       0.19997036       0.19997034       0.19997034       0.19997034       0.82618098E-01   0.39169684E-01
  7118.7981       0.20821503       0.20821501       0.20821501       0.20821501       0.86361062E-01   0.25283899E-01
  7118.8964       0.21680939       0.21680937       0.21680937       0.21680937       0.87548053E-01   0.33608166E-01
  7118.9964       0.22557292       0.22557290       0.22557290       0.22557290       0.93024452E-01   0.30837807E-01
  7119.0947       0.23525353       0.23525351       0.23525351       0.23525351       0.93662327E-01  -0.59381490E-02
  7119.1980       0.24445103       0.24445101       0.24445101       0.24445101       0.91827589E-01   0.23890045E-01
  7119.2996       0.25406340       0.25406338       0.25406338       0.25406338       0.98555940E-01   0.61454322E-01
  7119.3946       0.26383216       0.26383213       0.26383213       0.26383213       0.10391264       0.15606997E-01
  7119.4962       0.27449855       0.27449852       0.27449852       0.27449852       0.10162517       0.93877236E-02
  7119.5995       0.28465078       0.28465075       0.28465075       0.28465075       0.10583578       0.32015088E-01
  7119.6978       0.29583346       0.29583343       0.29583343       0.29583343       0.10807893      -0.48573848E-02
  7119.7994       0.30626138       0.30626135       0.30626135       0.30626135       0.10486454      -0.64914993E-03
  7119.9027       0.31731758       0.31731755       0.31731755       0.31731755       0.10794593       0.59220201E-01
  7120.0010       0.32802360       0.32802357       0.32802357       0.32802357       0.11680351       0.24410038E-01
  7120.0961       0.33990890       0.33990886       0.33990886       0.33990886       0.11266715      -0.55395540E-01
  7120.1961       0.35000023       0.35000020       0.35000020       0.35000020       0.10599817       0.13455696E-01
  7120.2993       0.36145398       0.36145394       0.36145394       0.36145394       0.11540214       0.64224505E-01
  7120.3977       0.37326830       0.37326827       0.37326827       0.37326827       0.11894750       0.19845180E-01
  7120.4961       0.38485274       0.38485270       0.38485270       0.38485270       0.11930599      -0.35751153E-01
  7120.5961       0.39693384       0.39693380       0.39693380       0.39693380       0.11185590      -0.26186179E-01
  7120.6993       0.40759114       0.40759110       0.40759110       0.40759110       0.11398278       0.74219182E-01
  7120.8026       0.42047904       0.42047899       0.42047899       0.42047899       0.12718721       0.59820400E-01
  7120.9010       0.43323920       0.43323916       0.43323916       0.43323916       0.12604592      -0.17187917E-01
  7120.9961       0.44486438       0.44486434       0.44486434       0.44486434       0.12386196      -0.79170626E-02
  7121.0945       0.45720277       0.45720273       0.45720273       0.45720273       0.12451421       0.17402226E-01
  7121.1945       0.46956726       0.46956721       0.46956721       0.46956721       0.12731446      -0.17474945E-01
  7121.2962       0.48287943       0.48287938       0.48287938       0.48287938       0.12098988      -0.16654953E-01
  7121.3978       0.49416752       0.49416748       0.49416748       0.49416748       0.12392809       0.55588919E-01
  7121.4995       0.50807785       0.50807780       0.50807780       0.50807780       0.13229283       0.75840621E-01
  7121.5995       0.52085059       0.52085054       0.52085054       0.52085054       0.13922492      -0.25524088E-02
  7121.6963       0.53547509       0.53547503       0.53547503       0.53547503       0.13179056      -0.54933737E-01
  7121.8012       0.54743393       0.54743388       0.54743388       0.54743388       0.12814429       0.85349411E-01
